penetration_pct,siting,load_factor,v_min_pu,v_max_pu,v_tail_pu,trafo_p_hv_mw,reverse_flow,max_line_loading_pct,losses_kw
0,distributed,0.4,0.9872410598882351,1.0071789505778648,0.9872410598882351,1.261725095104945,False,24.119711429532064,25.72509512442553
10,distributed,0.4,0.9918029930145323,1.008300791289702,0.9918029930145323,0.9460737155029411,False,19.306441668169818,19.0737155088656
20,distributed,0.4,0.9962842971606465,1.0093772452025886,0.9962842971606465,0.6323674151384832,False,14.989572430079418,14.36741514049658
30,distributed,0.4,1.0006873714526894,1.0104093980535973,1.0006873714526894,0.3205636228957979,False,11.679704878436956,11.56362289576871
40,distributed,0.4,1.0050144765944862,1.0113982695053962,1.0050144765944862,0.010622290945543008,False,10.334569612940106,10.622290945689945
50,distributed,0.4,1.0092677451340408,1.0123448178550292,1.0092677451340408,-0.2974942845355525,True,11.61019184777952,11.505715464565059
60,distributed,0.4,1.0132499442926581,1.0134491907493877,1.0134491907493877,-0.6038216256016753,True,14.812238475092704,14.178374397764461
70,distributed,0.4,1.0141144967607032,1.0175607166650162,1.0175607166650162,-0.9083932196335467,True,18.96537716009945,18.606780366669106
80,distributed,0.4,1.0149392734570264,1.0216041232947668,1.0216041232947668,-1.2112406529412856,True,23.55343570136455,24.759347058775724
90,distributed,0.4,1.0157250260207529,1.025581115196313,1.025581115196313,-1.5123937323486514,True,28.351502322831184,32.606267651159776
100,distributed,0.4,1.0164724624336965,1.0294933074095947,1.0294933074095947,-1.8118805959936652,True,33.25705762958195,42.11940400664518
110,distributed,0.4,1.0171822496669678,1.0333422312441864,1.0333422312441864,-2.109727814473874,True,38.219077667144525,53.272185525991304
120,distributed,0.4,1.0178550160982958,1.0371293395719534,1.0371293395719534,-2.4059604833065174,True,43.21005491382494,66.03951669410539
130,distributed,0.4,1.0184913537226785,1.0408560116743404,1.0408560116743404,-2.700602307550823,True,48.21418541075054,80.39769245222843
140,distributed,0.4,1.0190918201764048,1.0445235576885998,1.0445235576885998,-2.9936756793615342,True,53.22194143008366,96.32432064568304
150,distributed,0.4,1.0196569405920708,1.0481332226915416,1.0481332226915416,-3.2852017491412173,True,58.227376780036856,113.79825087753102
160,distributed,0.4,1.0201872093000894,1.0516861904550008,1.0516861904550008,-3.5752004908737667,True,63.226696666269945,132.7995091698462
170,distributed,0.4,1.0206830913908698,1.0551835869038795,1.0551835869038795,-3.863690762180913,True,68.21745464606263,153.30923790895105
180,distributed,0.4,1.0211450241496778,1.058626483303648,1.058626483303648,-4.150690359562765,True,73.19807966075768,175.3096406122548
190,distributed,0.4,1.0215734183754293,1.0620158992016504,1.0620158992016504,-4.436216069239366,True,78.16758593255749,198.7839310824016
200,distributed,0.4,1.0219686595931428,1.0653528051438672,1.0653528051438672,-4.720283713972369,True,83.1253887349088,223.7162865914941
0,concentrated,0.4,0.9872410598882351,1.0071789505778648,0.9872410598882351,1.261725095104945,False,24.119711429532064,25.72509512442553
10,concentrated,0.4,0.9955188757292828,1.0083296449209818,0.9960607085603479,0.9444375965378576,False,19.266910704572567,17.437596541906686
20,concentrated,0.4,1.0016590298297465,1.0093761128676955,1.0045925842047996,0.6324508676697577,False,14.991346258538604,14.450867670332496
30,concentrated,0.4,1.006281079634981,1.0128541047976451,1.0128541047976451,0.32550567839427846,False,13.783748401729353,16.505678394225
40,concentrated,0.4,1.0095330705271426,1.0208608170915805,1.0208608170915805,0.023370696288473703,False,18.966255386149562,23.37069628829896
50,concentrated,0.4,1.011579244141258,1.0286266585248813,1.0286266585248813,-0.2741613307913089,True,24.081147725335093,34.838669209315
60,concentrated,0.4,1.0126186411200861,1.0361641733983773,1.0361641733983773,-0.5672767294191975,True,29.13027585582212,50.72327058695681
70,concentrated,0.4,1.013213767746101,1.0434846926895687,1.0434846926895687,-0.8561435275284335,True,34.11684122705685,70.85647250855187
80,concentrated,0.4,1.0137294147697031,1.0505984846856513,1.0505984846856513,-1.1409136570943799,True,39.04427914250221,95.08634306735574
90,concentrated,0.4,1.0141683720974675,1.057514881995703,1.057514881995703,-1.4217248128178637,True,43.91595159076952,123.27518774666736
100,concentrated,0.4,1.0145331618477247,1.0642423892911772,1.0642423892911772,-1.6987020296327975,True,48.73505419944596,155.29797201954932
110,concentrated,0.4,1.014826066882458,1.0707887752056273,1.0707887752056273,-1.9719590286568545,True,53.504592411314114,191.04097556800693
120,concentrated,0.4,1.0150491550597096,1.0771611505204197,1.0771611505204197,-2.2415993616813488,True,58.22738274433854,230.40063831812785
130,concentrated,0.4,1.015204300724876,1.0833660377788576,1.0833660377788576,-2.5077174318503275,True,62.906062883181725,273.2825681494588
140,concentrated,0.4,1.0152932022088357,1.0894094278200737,1.0894094278200737,-2.770399318660752,True,67.5431055841118,319.6006813395682
150,concentrated,0.4,1.0153173978445882,1.0952968319551033,1.0952968319551033,-3.0297235411767534,True,72.14083259085227,369.27645882375157
160,concentrated,0.4,1.01527827949368,1.1010333261156122,1.1010333261156122,-3.2857617013763343,True,76.7014283130151,422.2382986234854
170,concentrated,0.4,1.015177104375294,1.1066235896827878,1.1066235896827878,-3.5385790486339386,True,81.2269525578792,478.42095136580264
180,concentrated,0.4,1.0150150053704192,1.1120719395314143,1.1120719395314143,-3.788234972832313,True,85.71935222788963,537.7650271674169
190,concentrated,0.4,1.014793000006383,1.1173823599539763,1.1173823599539763,-4.034783435743078,True,90.18047198626124,600.2165642569612
200,concentrated,0.4,1.014511998292511,1.1225585290188056,1.1225585290188056,-4.27827334868932,True,94.61206395171345,665.7266513104316
